"source","target"
"Rząska Jednostka Wojskowa","Rząska UR"
"Rząska UR","Rząska"
"Rząska","Rząska Autostrada"
"Rząska Autostrada","Modlniczka Mała"
"Modlniczka Mała","Zabierzów Działki"
"Zabierzów Działki","Kraków Business Park"
"Kraków Business Park","Zabierzów Sklep"
"Zabierzów Sklep","Zabierzów Piekarnia"
"Zabierzów Piekarnia","Zabierzów I"
"Zabierzów I","Zabierzów Piaski"
"Zabierzów Piaski","Zabierzów Ośrodek Zdrowia"
"Zabierzów Ośrodek Zdrowia","Kochanów I"
"Kochanów I","Kochanów"
"Kochanów","Droga do Niegoszowic"
"Droga do Niegoszowic","Rudawa Stadion"
"Rudawa Stadion","Rudawa PKP"
"Rudawa PKP","Rudawa Kościół"
"Rudawa Kościół","Rudawa"
"Rudawa","Rudawa Młyn"
"Rudawa Młyn","Młynka I"
"Młynka I","Młynka Pętla - Bronowice Małe"

"Salwator","Malczewskiego"
"Malczewskiego","Księcia Józefa"
"Księcia Józefa","Benedyktowicza"
"Benedyktowicza","Glinnik"
"Glinnik","Przegorzały"
"Przegorzały","Zaskale"
"Zaskale","Na Krępaku"
"Na Krępaku","Bielańskie Skały"
"Bielańskie Skały","Wodociągi"
"Wodociągi","Bielany Klasztor"
"Bielany Klasztor","Bielany Szkoła"
"Bielany Szkoła","Bielany"
"Bielany","Granica Miasta"
"Granica Miasta","Kryspinów"
"Kryspinów","Kryspinów Sanka"
"Kryspinów Sanka","Liszki I"
"Liszki I","Liszki UG"
"Liszki UG","Liszki Krzyżówka"
"Liszki Krzyżówka","Liszki Wołowska Droga"
"Liszki Wołowska Droga","Rączna Dzikowiec"
"Rączna Dzikowiec","Rączna Podlas"
"Rączna Podlas","Rączna Kościół"
"Rączna Kościół","Rączna OSP"
"Rączna OSP","Rączna Boisko"
"Rączna Boisko","Jeziorzany Rondo"
"Jeziorzany Rondo","Jeziorzany Pętla - Salwator"
"Jeziorzany Pętla - Salwator","Salwator - Jeziorzany Pętla"
"Salwator - Jeziorzany Pętla","Jeziorzany Pętla - Salwator"
"Jeziorzany Pętla - Salwator","Salwator - Jeziorzany Pętla"
"Salwator - Jeziorzany Pętla","Salwator - Jeziorzany Pętla"

"Krowodrza Górka","Krowoderskich Zuchów"
"Krowoderskich Zuchów","Batalionu Skała AK"
"Batalionu Skała AK","Wyki"
"Wyki","Skrajna"
"Skrajna","Jordanowska"
"Jordanowska","Chabrowa"
"Chabrowa","Os.Łokietka"
"Os.Łokietka","Poziomkowa"
"Poziomkowa","Gospodarska"
"Gospodarska","Tonie Skrzyżowanie"
"Tonie Skrzyżowanie","Tonie Kąty"
"Tonie Kąty","Pękowice - Krowodrza Górka"

"Kombinat","Zajezdnia Nowa Huta"
"Zajezdnia Nowa Huta","Elektromontaż"
"Elektromontaż","Lubocza PKP"
"Lubocza PKP","Lubocza Bugaj"
"Lubocza Bugaj","Lubocza Przychodnia"
"Lubocza Przychodnia","Lubocza Szkoła"
"Lubocza Szkoła","Lubocza Trafo"
"Lubocza Trafo","Wadowska"
"Wadowska","Wadów"
"Wadów","Wadów Szkoła"
"Wadów Szkoła","Wadów Osiedle"
"Wadów Osiedle","Łuczanowice Skrzyżowanie"
"Łuczanowice Skrzyżowanie","Bystronia"
"Bystronia","Łuczanowice"
"Łuczanowice","Krzysztoforzyce Góra"
"Krzysztoforzyce Góra","Krzysztoforzyce przy Dworze"
"Krzysztoforzyce przy Dworze","Krzysztoforzyce Sklep"
"Krzysztoforzyce Sklep","Krzysztoforzyce - Kombinat"

"Dworzec Płaszów","Dworcowa"
"Dworcowa","Kabel"
"Kabel","Bieżanowska"
"Bieżanowska","Prosta"
"Prosta","Prokocim Rynek"
"Prokocim Rynek","Młodzieży"
"Młodzieży","Cmentarz Prokocim"
"Cmentarz Prokocim","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Bieżanów"
"Nowy Bieżanów","Barbary"
"Barbary","Bieżanów Pomnik"
"Bieżanów Pomnik","Sucharskiego"
"Sucharskiego","Złocieniowa"
"Złocieniowa","Bieżanów Granica Miasta"
"Bieżanów Granica Miasta","Czarnochowice I"
"Czarnochowice I","Kokotów I"
"Kokotów I","Kokotów II"
"Kokotów II","Węgrzce Wielkie II"
"Węgrzce Wielkie II","Węgrzce Wielkie III"
"Węgrzce Wielkie III","Węgrzce Wielkie - Dworzec Płaszów"

"Czerwone Maki","Czerwone Maki"
"Czerwone Maki","Bunscha"
"Bunscha","Babińskiego"
"Babińskiego","Kobierzyn"
"Kobierzyn","Komuny Paryskiej"
"Komuny Paryskiej","Zawiła"
"Zawiła","Las Borkowski"
"Las Borkowski","Zawiła Cmentarz"
"Zawiła Cmentarz","Góra Borkowska"
"Góra Borkowska","Borek Fałęcki"
"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Jugowicka"
"Jugowicka","Myślenicka"
"Myślenicka","Bujaka"
"Bujaka","Kurdwanów"
"Kurdwanów","Witosa"
"Witosa","Nowosądecka"
"Nowosądecka","Piaski Nowe"
"Piaski Nowe","Dauna"
"Dauna","Bieżanowska"
"Bieżanowska","Wlotowa"
"Wlotowa","Prokocim Szpital"
"Prokocim Szpital","Jerzmanowskiego"
"Jerzmanowskiego","Wielicka"
"Wielicka","Wielicka Granica Miasta"
"Wielicka Granica Miasta","Krzyszkowice Modrzewiowa"
"Krzyszkowice Modrzewiowa","Krzyszkowice Kasztanowa II"
"Krzyszkowice Kasztanowa II","Krzyszkowice Kasztanowa I"
"Krzyszkowice Kasztanowa I","Krzyszkowice Kościół"
"Krzyszkowice Kościół","Krzyszkowice Os.Szymanowskiego"
"Krzyszkowice Os.Szymanowskiego","Wieliczka CPN"
"Wieliczka CPN","Wieliczka Kościół"
"Wieliczka Kościół","Wieliczka Cmentarz"
"Wieliczka Cmentarz","Wieliczka Kampus - Czerwone Maki"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Opatkowice Wiadukt"
"Opatkowice Wiadukt","Opatkowice"
"Opatkowice","Ważewskiego"
"Ważewskiego","Libertów"
"Libertów","Gaj Szkoła"
"Gaj Szkoła","Gaj Zadziele"
"Gaj Zadziele","Mogilany Rynek"
"Mogilany Rynek","Mogilany Cmentarz"
"Mogilany Cmentarz","Mogilany Kopce"
"Mogilany Kopce","Chorowice"
"Chorowice","Kulerzów Wąwóz"
"Kulerzów Wąwóz","Kulerzów"
"Kulerzów","Buków Szkoła"
"Buków Szkoła","Buków Klin"
"Buków Klin","Buków"
"Buków","Skawina Bukowska"
"Skawina Bukowska","Skawina - Borek Fałęcki"

"Krowodrza Górka","Zdrowa"
"Zdrowa","Mackiewicza"
"Mackiewicza","Imbramowska"
"Imbramowska","Opolska Estakada"
"Opolska Estakada","Aleja 29 Listopada"
"Aleja 29 Listopada","Kuźnicy Kołłątajowskiej"
"Kuźnicy Kołłątajowskiej","Belwederczyków"
"Belwederczyków","Trzecia Góra"
"Trzecia Góra","Węgrzce Starostwo Powiatowe"
"Węgrzce Starostwo Powiatowe","Węgrzce"
"Węgrzce","Bibice Kościuszki"
"Bibice Kościuszki","Bibice Rynek - Krowodrza Górka"
"Bibice Rynek - Krowodrza Górka","Krowodrza Górka - Bibice Rynek"
"Krowodrza Górka - Bibice Rynek","Węgrzce Pętla - Krowodrza Górka"

"Bronowice Małe","Bronowice Wiadukt"
"Bronowice Wiadukt","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Katowicka"
"Katowicka","Pasternik Cmentarz"
"Pasternik Cmentarz","Pasternik"
"Pasternik","Droga do Rząski"
"Droga do Rząski","Leroy Merlin"
"Leroy Merlin","Modlniczka Mała"
"Modlniczka Mała","Zabierzów Działki"
"Zabierzów Działki","Zabierzów Sklep"
"Zabierzów Sklep","Zabierzów Piekarnia"
"Zabierzów Piekarnia","Zabierzów Gimnazjum"
"Zabierzów Gimnazjum","Zabierzów PKP"
"Zabierzów PKP","Bolechowice Zielona"
"Bolechowice Zielona","Bolechowice Krzewiny"
"Bolechowice Krzewiny","Bolechowice Drogi"
"Bolechowice Drogi","Bolechowice"
"Bolechowice","Zelków Wola"
"Zelków Wola","Zelków Staw"
"Zelków Staw","Zelków Spławy"
"Zelków Spławy","Zelków I"
"Zelków I","Zelków - Bronowice Małe"
"Zelków - Bronowice Małe","Bronowice Małe - Zelków"
"Bronowice Małe - Zelków","Zelków - Bronowice Małe"

"Salwator","Malczewskiego"
"Malczewskiego","Księcia Józefa"
"Księcia Józefa","Benedyktowicza"
"Benedyktowicza","Glinnik"
"Glinnik","Przegorzały"
"Przegorzały","Na Krępaku"
"Na Krępaku","Bielańskie Skały"
"Bielańskie Skały","Wodociągi"
"Wodociągi","Skalna"
"Skalna","Bielańska"
"Bielańska","Kryspinów Stopień Wodny"
"Kryspinów Stopień Wodny","Piekary Na Brzegu"
"Piekary Na Brzegu","Piekary Korea"
"Piekary Korea","Piekary Sklep"
"Piekary Sklep","Piekary"
"Piekary","Piekary Borki"
"Piekary Borki","Piekary Dół"
"Piekary Dół","Liszki Tyniecka"
"Liszki Tyniecka","Liszki UG"
"Liszki UG","Liszki Krzyżówka"
"Liszki Krzyżówka","Kaszów Łysa Góra"
"Kaszów Łysa Góra","Kaszów Tyrałówka"
"Kaszów Tyrałówka","Kaszów"
"Kaszów","Kaszów II"
"Kaszów II","Nowa Wieś Kapliczka"
"Nowa Wieś Kapliczka","Nowa Wieś"
"Nowa Wieś","Nowa Wieś Kościół"
"Nowa Wieś Kościół","Nowa Wieś Szlachecka"
"Nowa Wieś Szlachecka","Nowa Wieś Jesionka"
"Nowa Wieś Jesionka","Przeginia Duchowna Szkoła"
"Przeginia Duchowna Szkoła","Przeginia Duchowna Centrum"
"Przeginia Duchowna Centrum","Przeginia Duchowna Bar"
"Przeginia Duchowna Bar","Przeginia Narodowa Bonar"
"Przeginia Narodowa Bonar","Przeginia Narodowa"
"Przeginia Narodowa","Czernichów Bór"
"Czernichów Bór","Czernichów Zakamycze"
"Czernichów Zakamycze","Czernichów - Salwator"
"Czernichów - Salwator","Salwator - Czułówek Kapliczka"

"Prądnik Czerwony","Strzelców"
"Strzelców","Rondo Barei"
"Rondo Barei","Strzelców"
"Strzelców","Prądnik Czerwony"
"Prądnik Czerwony","Cmentarz Batowice"
"Cmentarz Batowice","Cmentarz Batowice Wschód"
"Cmentarz Batowice Wschód","Batowice"
"Batowice","Batowice PKP"
"Batowice PKP","Batowice Spławy"
"Batowice Spławy","Batowice Kapliczka"
"Batowice Kapliczka","Batowice Dłubnia"
"Batowice Dłubnia","Raciborowice"
"Raciborowice","Raciborowice Granica"
"Raciborowice Granica","Zastów - Prądnik Czerwony"

"Pleszów","Zakład Przeróbki"
"Zakład Przeróbki","Szymańskiego"
"Szymańskiego","Wyciąże"
"Wyciąże","Janówka"
"Janówka","Błonia Kościelnickie"
"Błonia Kościelnickie","Kościelniki"
"Kościelniki","Zabłocie Kościelnickie"
"Zabłocie Kościelnickie","Resztówka"
"Resztówka","Ostafina"
"Ostafina","Hektary"
"Hektary","Wróżenice Górka"
"Wróżenice Górka","Wróżenice"
"Wróżenice","Wróżenice Górka"
"Wróżenice Górka","Wróżenicka"
"Wróżenicka","Czulice I"
"Czulice I","Czulice - Pleszów"

"Czerwone Maki","Czerwone Maki"
"Czerwone Maki","Bunscha"
"Bunscha","Babińskiego"
"Babińskiego","Skotniki"
"Skotniki","Baczyńskiego"
"Baczyńskiego","Wrony"
"Wrony","Skawina Podlipki"
"Skawina Podlipki","Skawina Rzepnik"
"Skawina Rzepnik","Skawina Cmentarz"
"Skawina Cmentarz","Skawina Popiełuszki"
"Skawina Popiełuszki","Skawina Ajka"
"Skawina Ajka","Skawina Centrum Sportowe"
"Skawina Centrum Sportowe","Skawina Radziszowska"
"Skawina Radziszowska","Skawina Os.Radziszowskie"
"Skawina Os.Radziszowskie","Skawina Nad Potokiem"
"Skawina Nad Potokiem","Radziszów Kamionna"
"Radziszów Kamionna","Radziszów Centrum"
"Radziszów Centrum","Radziszów Zadworze"
"Radziszów Zadworze","Radziszów Włosanka"
"Radziszów Włosanka","Radziszów Podlesie"
"Radziszów Podlesie","Radziszów Leśniczówka"
"Radziszów Leśniczówka","Radziszów Stare Sanatorium"
"Radziszów Stare Sanatorium","Radziszów Pętla - Czerwone Maki"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Opatkowice Wiadukt"
"Opatkowice Wiadukt","Opatkowice"
"Opatkowice","Ważewskiego"
"Ważewskiego","Libertów Dolny"
"Libertów Dolny","Lusina Granica"
"Lusina Granica","Lusina"
"Lusina","Lusina Dwór"
"Lusina Dwór","Lusina Spacerowa"
"Lusina Spacerowa","Lusina Szkoła"
"Lusina Szkoła","Lusina Łany"
"Lusina Łany","Lusina Pętla"
"Lusina Pętla","Gaj Kwiatowa"
"Gaj Kwiatowa","Gaj Rudawa"
"Gaj Rudawa","Gaj Zgody"
"Gaj Zgody","Gaj Zadziele - Borek Fałęcki"
"Gaj Zadziele - Borek Fałęcki","Lusina Pętla - Borek Fałęcki"

"Nowy Kleparz","Biskupa Prandoty"
"Biskupa Prandoty","Opolska Estakada"
"Opolska Estakada","Aleja 29 Listopada"
"Aleja 29 Listopada","Kuźnicy Kołłątajowskiej"
"Kuźnicy Kołłątajowskiej","Belwederczyków"
"Belwederczyków","Trzecia Góra"
"Trzecia Góra","Węgrzce Starostwo Powiatowe"
"Węgrzce Starostwo Powiatowe","Węgrzce"
"Węgrzce","Bibice"
"Bibice","Michałowice Komora"
"Michałowice Komora","Michałowice Banasiówka"
"Michałowice Banasiówka","Michałowice Kwiaty Polne"
"Michałowice Kwiaty Polne","Michałowice Brzozowa"
"Michałowice Brzozowa","Michałowice Las Michałowski"
"Michałowice Las Michałowski","Michałowice Ujęcie Wody"
"Michałowice Ujęcie Wody","Michałowice Ośrodek Zdrowia"
"Michałowice Ośrodek Zdrowia","Michałowice II"
"Michałowice II","Warszówka"
"Warszówka","Laskowiec"
"Laskowiec","Michałowice Gościniec"
"Michałowice Gościniec","Kozierów Skrzyżowanie"
"Kozierów Skrzyżowanie","Narama Remiza - Nowy Kleparz"

"Bronowice Małe","Bronowice Wiadukt"
"Bronowice Wiadukt","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Katowicka"
"Katowicka","Pasternik Cmentarz"
"Pasternik Cmentarz","Pasternik"
"Pasternik","Droga do Rząski"
"Droga do Rząski","Rząska Jednostka Wojskowa"
"Rząska Jednostka Wojskowa","Rząska UR"
"Rząska UR","Rząska"
"Rząska","Rząska Autostrada"
"Rząska Autostrada","Modlniczka Mała"
"Modlniczka Mała","Zabierzów Działki"
"Zabierzów Działki","Zabierzów"
"Zabierzów","Skała Kmity"
"Skała Kmity","Szczyglice"
"Szczyglice","Balice Autostrada"
"Balice Autostrada","Balice Autostrada"
"Balice Autostrada","Balice Szkoła"
"Balice Szkoła","Balice Instytut"
"Balice Instytut","Balice Winna Góra"
"Balice Winna Góra","Aleksandrowice Osiedle"
"Aleksandrowice Osiedle","Aleksandrowice"
"Aleksandrowice","Morawica Cmentarz"
"Morawica Cmentarz","Brzoskwinia Koziary"
"Brzoskwinia Koziary","Brzoskwinia Góra"
"Brzoskwinia Góra","Brzoskwinia Sklep"
"Brzoskwinia Sklep","Brzoskwinia Kamyk"
"Brzoskwinia Kamyk","Brzoskwinia"
"Brzoskwinia","Nielepice Stadnina"
"Nielepice Stadnina","Nielepice - Bronowice Małe"
"Nielepice - Bronowice Małe","Bronowice Małe - Nielepice"
"Bronowice Małe - Nielepice","Nielepice - Bronowice Małe"

"Salwator","Malczewskiego"
"Malczewskiego","Księcia Józefa"
"Księcia Józefa","Benedyktowicza"
"Benedyktowicza","Glinnik"
"Glinnik","Przegorzały"
"Przegorzały","Zaskale"
"Zaskale","Na Krępaku"
"Na Krępaku","Bielańskie Skały"
"Bielańskie Skały","Wodociągi"
"Wodociągi","Skalna"
"Skalna","Bielańska"
"Bielańska","Kryspinów Stopień Wodny"
"Kryspinów Stopień Wodny","Piekary Na Brzegu"
"Piekary Na Brzegu","Piekary Korea"
"Piekary Korea","Piekary Sklep"
"Piekary Sklep","Piekary"
"Piekary","Piekary Pałac"
"Piekary Pałac","Piekary Górne"
"Piekary Górne","Piekary III"
"Piekary III","Rączna Kapliczka"
"Rączna Kapliczka","Rączna OSP"
"Rączna OSP","Rączna Boisko"
"Rączna Boisko","Rączna Osiedle"
"Rączna Osiedle","Dąbrowa Szlachecka Krzyż"
"Dąbrowa Szlachecka Krzyż","Dąbrowa Szlachecka Figurka"
"Dąbrowa Szlachecka Figurka","Dąbrowa Szlachecka"
"Dąbrowa Szlachecka","Dąbrowa Szlachecka Krzemiennik"
"Dąbrowa Szlachecka Krzemiennik","Wołowice Szkoła"
"Wołowice Szkoła","Wołowice"
"Wołowice","Wołowice Kapliczka"
"Wołowice Kapliczka","Wołowice"
"Wołowice","Wołowice Sklep"
"Wołowice Sklep","Wołowice Pichonówka"
"Wołowice Pichonówka","Wołowice Niwa"
"Wołowice Niwa","Czernichów Stacja Paliw"
"Czernichów Stacja Paliw","Czernichów GS"
"Czernichów GS","Czernichów - Salwator"
"Czernichów - Salwator","Salwator - Czernichów"
"Salwator - Czernichów","Czernichów - Salwator"

"Prądnik Czerwony","Strzelców"
"Strzelców","Rondo Barei"
"Rondo Barei","Strzelców"
"Strzelców","Prądnik Czerwony"
"Prądnik Czerwony","Cmentarz Batowice"
"Cmentarz Batowice","Cmentarz Batowice Wschód"
"Cmentarz Batowice Wschód","Batowice"
"Batowice","Batowice PKP"
"Batowice PKP","Batowice Spławy"
"Batowice Spławy","Batowice Kapliczka"
"Batowice Kapliczka","Batowice Dłubnia"
"Batowice Dłubnia","Raciborowice Centrum"
"Raciborowice Centrum","Kończyce"
"Kończyce","Książniczki Boisko"
"Książniczki Boisko","Książniczki Centrum"
"Książniczki Centrum","Książniczki Las"
"Książniczki Las","Młodziejowice Młyn"
"Młodziejowice Młyn","Młodziejowice Park"
"Młodziejowice Park","Michałowice Ogrodowa"
"Michałowice Ogrodowa","Michałowice"
"Michałowice","Michałowice I"
"Michałowice I","Michałowice Koźlica"
"Michałowice Koźlica","Masłomiąca Staw"
"Masłomiąca Staw","Masłomiąca"
"Masłomiąca","Więcławice Stare"
"Więcławice Stare","Sieborowice"
"Sieborowice","Zagórzyce Stare"
"Zagórzyce Stare","Zagórzyce Dworskie"
"Zagórzyce Dworskie","Zagórzyce Stare"
"Zagórzyce Stare","Sieborowice"
"Sieborowice","Więcławice Stare Wysyłek"
"Więcławice Stare Wysyłek","Pielgrzymowice Granica"
"Pielgrzymowice Granica","Pielgrzymowice"
"Pielgrzymowice","Pielgrzymowice Pętla - Prądnik Czerwony"

"Czerwone Maki","Czerwone Maki"
"Czerwone Maki","Bunscha"
"Bunscha","Babińskiego"
"Babińskiego","Skotniki"
"Skotniki","Baczyńskiego"
"Baczyńskiego","Wrony"
"Wrony","Skawina Podlipki"
"Skawina Podlipki","Skawina Rzepnik"
"Skawina Rzepnik","Skawina Rynek"
"Skawina Rynek","Skawina Szkoła"
"Skawina Szkoła","Skawina Sąd"
"Skawina Sąd","Skawina Koncentraty"
"Skawina Koncentraty","Rzozów Baseny"
"Rzozów Baseny","Rzozów I"
"Rzozów I","Rzozów Skotnica"
"Rzozów Skotnica","Rzozów Zagonnie"
"Rzozów Zagonnie","Rzozów PKP"
"Rzozów PKP","Radziszów Kładka"
"Radziszów Kładka","Radziszów Zacisze"
"Radziszów Zacisze","Radziszów Podwale"
"Radziszów Podwale","Radziszów Zawodzie"
"Radziszów Zawodzie","Radziszów PKP"
"Radziszów PKP","Wola Radziszowska Łęg"
"Wola Radziszowska Łęg","Wola Radziszowska Mała Ostra Góra"
"Wola Radziszowska Mała Ostra Góra","Wola Radziszowska Most"
"Wola Radziszowska Most","Wola Radziszowska Lipki"
"Wola Radziszowska Lipki","Wola Radziszowska Podgaźle"
"Wola Radziszowska Podgaźle","Wola Radziszowska Centrum"
"Wola Radziszowska Centrum","Wola Radziszowska Chorzyny"
"Wola Radziszowska Chorzyny","Wola Radziszowska - Czerwone Maki"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Wilga"
"Wilga","Zdrojowa"
"Zdrojowa","Swoszowice Sklep"
"Swoszowice Sklep","Swoszowice Poczta"
"Swoszowice Poczta","Pytlasińskiego"
"Pytlasińskiego","Chałubińskiego"
"Chałubińskiego","Krakówka"
"Krakówka","Lusina Dolna"
"Lusina Dolna","Lusina Zagrody"
"Lusina Zagrody","Lusina Kraśnik"
"Lusina Kraśnik","Lusina Dobrzyczany"
"Lusina Dobrzyczany","Lusina Górka"
"Lusina Górka","Lusina Zielona"
"Lusina Zielona","Konary - Borek Fałęcki"

"Krowodrza Górka","Zdrowa"
"Zdrowa","Mackiewicza"
"Mackiewicza","Clepardia"
"Clepardia","Siewna Wiadukt"
"Siewna Wiadukt","Siewna"
"Siewna","Dożynkowa"
"Dożynkowa","Witkowice Nowe"
"Witkowice Nowe","Witkowice"
"Witkowice","Os.Marszowiec"
"Os.Marszowiec","Zielonki Marszowiec Pętla"
"Zielonki Marszowiec Pętla","Zielonki Galicyjska"
"Zielonki Galicyjska","Zielonki UG"
"Zielonki UG","Zielonki Transformator"
"Zielonki Transformator","Zielonki Rozjazd"
"Zielonki Rozjazd","Trojanowice Strugi"
"Trojanowice Strugi","Trojanowice"
"Trojanowice","Januszowice"
"Januszowice","Korzkiew Botoja"
"Korzkiew Botoja","Korzkiew Zamek"
"Korzkiew Zamek","Grębynice OSP"
"Grębynice OSP","Grębynice"
"Grębynice","Grębynice Mogiełki"
"Grębynice Mogiełki","Maszyce"
"Maszyce","Maszyce Remiza"
"Maszyce Remiza","Maszyce Skrzyżowanie"
"Maszyce Skrzyżowanie","Smardzowice Wołówka"
"Smardzowice Wołówka","Smardzowice - Krowodrza Górka"

"Bronowice Małe","Bronowice Wiadukt"
"Bronowice Wiadukt","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Katowicka"
"Katowicka","Pasternik Cmentarz"
"Pasternik Cmentarz","Pasternik"
"Pasternik","Droga do Rząski"
"Droga do Rząski","Leroy Merlin"
"Leroy Merlin","Modlniczka Trzcie"
"Modlniczka Trzcie","Brzezie Działki"
"Brzezie Działki","Brzezie Narodowe"
"Brzezie Narodowe","Brzezie"
"Brzezie","Ujazd Pętla"
"Ujazd Pętla","Brzezie"
"Brzezie","Brzezie Narodowe"
"Brzezie Narodowe","Brzezie Kulka"
"Brzezie Kulka","Bolechowice Zielona"
"Bolechowice Zielona","Zabierzów Młyn"
"Zabierzów Młyn","Bolechowice Zielona"
"Bolechowice Zielona","Bolechowice Krzewiny"
"Bolechowice Krzewiny","Bolechowice Drogi"
"Bolechowice Drogi","Bolechowice"
"Bolechowice","Karniowice I"
"Karniowice I","Karniowice - Bronowice Małe"
"Karniowice - Bronowice Małe","Bronowice Małe - Radwanowice Pętla"

"Salwator","Malczewskiego"
"Malczewskiego","Księcia Józefa"
"Księcia Józefa","Benedyktowicza"
"Benedyktowicza","Glinnik"
"Glinnik","Przegorzały"
"Przegorzały","Na Krępaku"
"Na Krępaku","Bielańskie Skały"
"Bielańskie Skały","Wodociągi"
"Wodociągi","Bielany Klasztor"
"Bielany Klasztor","Bielany Szkoła"
"Bielany Szkoła","Bielany"
"Bielany","Granica Miasta"
"Granica Miasta","Kryspinów"
"Kryspinów","Budzyń Plaża Główna"
"Budzyń Plaża Główna","Budzyń Zalew Budzyński"
"Budzyń Zalew Budzyński","Cholerzyn"
"Cholerzyn","Cholerzyn Sklep"
"Cholerzyn Sklep","Cholerzyn Skrzyżowanie"
"Cholerzyn Skrzyżowanie","Cholerzyn Granica"
"Cholerzyn Granica","Mników Dziady"
"Mników Dziady","Mników Droga do Kaszowa"
"Mników Droga do Kaszowa","Mników Sklep"
"Mników Sklep","Czułów"
"Czułów","Czułów Droga na Czułówek"
"Czułów Droga na Czułówek","Czułów Szkoła"
"Czułów Szkoła","Sanka Skrzyżowanie"
"Sanka Skrzyżowanie","Rybna Nowy Świat"
"Rybna Nowy Świat","Rybna Nowy Świat Góra"
"Rybna Nowy Świat Góra","Rybna Szkoła"
"Rybna Szkoła","Rybna"
"Rybna","Rybna Dół"
"Rybna Dół","Rybna Ośrodek Zdrowia"
"Rybna Ośrodek Zdrowia","Rybna Granica"
"Rybna Granica","Przeginia Duchowna"
"Przeginia Duchowna","Czułówek"
"Czułówek","Czułówek Kapliczka - Salwator"
"Czułówek Kapliczka - Salwator","Salwator - Rybna Dolna"
"Salwator - Rybna Dolna","Rybna Dolna - Salwator"

"Prądnik Czerwony","Strzelców"
"Strzelców","Rondo Barei"
"Rondo Barei","Strzelców"
"Strzelców","Prądnik Czerwony"
"Prądnik Czerwony","Cmentarz Batowice"
"Cmentarz Batowice","Cmentarz Batowice Wschód"
"Cmentarz Batowice Wschód","Batowice"
"Batowice","Batowice PKP"
"Batowice PKP","Batowice Spławy"
"Batowice Spławy","Batowice Kapliczka"
"Batowice Kapliczka","Batowice Dłubnia"
"Batowice Dłubnia","Raciborowice"
"Raciborowice","Raciborowice Granica"
"Raciborowice Granica","Zastów"
"Zastów","Zastów Działki"
"Zastów Działki","Wiktorowice Skrzyżowanie"
"Wiktorowice Skrzyżowanie","Wiktorowice Centrum"
"Wiktorowice Centrum","Wiktorowice Granica"
"Wiktorowice Granica","Pielgrzymowice Pętla - Prądnik Czerwony"

"Skawina PKP","Skawina Cmentarz"
"Skawina Cmentarz","Skawina Rynek"
"Skawina Rynek","Skawina Szkoła"
"Skawina Szkoła","Skawina Sąd"
"Skawina Sąd","Skawina Koncentraty"
"Skawina Koncentraty","Rzozów Baseny"
"Rzozów Baseny","Rzozów I"
"Rzozów I","Rzozów Skotnica"
"Rzozów Skotnica","Rzozów Zagonnie"
"Rzozów Zagonnie","Rzozów PKP"
"Rzozów PKP","Radziszów Cmentarz"
"Radziszów Cmentarz","Radziszów Za Mogiłką"
"Radziszów Za Mogiłką","Jurczyce Podole"
"Jurczyce Podole","Jurczyce Szkoła"
"Jurczyce Szkoła","Jurczyce Dom Ludowy"
"Jurczyce Dom Ludowy","Gołuchowice Jurczyce"
"Gołuchowice Jurczyce","Gołuchowice Sklep"
"Gołuchowice Sklep","Polanka Hallera Dwór"
"Polanka Hallera Dwór","Grabie Polanka"
"Grabie Polanka","Grabie Kuźnia"
"Grabie Kuźnia","Grabie - Skawina PKP"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Opatkowice Wiadukt"
"Opatkowice Wiadukt","Opatkowice"
"Opatkowice","Ważewskiego"
"Ważewskiego","Libertów"
"Libertów","Gaj Szkoła"
"Gaj Szkoła","Gaj Zadziele"
"Gaj Zadziele","Mogilany Rynek"
"Mogilany Rynek","Mogilany Cicha"
"Mogilany Cicha","Mogilany Wiadukt"
"Mogilany Wiadukt","Mogilany Włosań"
"Mogilany Włosań","Konary Włosań"
"Konary Włosań","Włosań Kopań"
"Włosań Kopań","Włosań Krzyżówka"
"Włosań Krzyżówka","Włosań - Borek Fałęcki"
"Włosań - Borek Fałęcki","Borek Fałęcki - Włosań"

"Nowy Kleparz","Biskupa Prandoty"
"Biskupa Prandoty","Opolska Estakada"
"Opolska Estakada","Aleja 29 Listopada"
"Aleja 29 Listopada","Kuźnicy Kołłątajowskiej"
"Kuźnicy Kołłątajowskiej","Belwederczyków"
"Belwederczyków","Trzecia Góra"
"Trzecia Góra","Węgrzce Starostwo Powiatowe"
