"source","target"
"Rondo Czyżyńskie","Bieńczycka"
"Bieńczycka","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Teatr Ludowy"
"Teatr Ludowy","Kocmyrzowska"
"Kocmyrzowska","Wańkowicza"
"Wańkowicza","Wiadukty"
"Wiadukty","Darwina"
"Darwina","Jarzębiny"
"Jarzębiny","Wzgórza Krzesławickie - Czerwone Maki"

"Muzeum Inżynierii Miejskiej","Dajwór"
"Dajwór","Plac Bohaterów Getta"
"Plac Bohaterów Getta","Korona"
"Korona","Plac Wolnica"
"Plac Wolnica","Stradom"
"Stradom","Wawel"
"Wawel","Św.Gertrudy"
"Św.Gertrudy","Plac Wszystkich Świętych"
"Plac Wszystkich Świętych","Filharmonia"
"Filharmonia","Uniwersytet Jagielloński"
"Uniwersytet Jagielloński","Cracovia"
"Cracovia","Oleandry"
"Oleandry","Park Jordana"
"Park Jordana","Reymana"
"Reymana","Cichy Kącik - Muzeum Inżynierii Miejskiej"
"Cichy Kącik - Muzeum Inżynierii Miejskiej","Muzeum Inżynierii Miejskiej - Kopiec Wandy"
"Muzeum Inżynierii Miejskiej - Kopiec Wandy","Kopiec Wandy - Muzeum Inżynierii Miejskiej"

"Plac Centralny im. R.Reagana","Os.Kolorowe"
"Os.Kolorowe","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Centralna"
"Centralna","Nowohucka"
"Nowohucka","M1 Al. Pokoju"
"M1 Al. Pokoju","TAURON Arena Kraków Al. Pokoju"
"TAURON Arena Kraków Al. Pokoju","Kraków Plaza"
"Kraków Plaza","Dąbie"
"Dąbie","Ofiar Dąbia"
"Ofiar Dąbia","Fabryczna"
"Fabryczna","Francesco Nullo"
"Francesco Nullo","Teatr Variété"
"Teatr Variété","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Rondo Mogilskie"
"Rondo Mogilskie","Lubicz"
"Lubicz","Dworzec Główny"
"Dworzec Główny","Poczta Główna"
"Poczta Główna","Starowiślna"
"Starowiślna","Stradom"
"Stradom","Orzeszkowej"
"Orzeszkowej","Centrum Kongresowe"
"Centrum Kongresowe","Szwedzka"
"Szwedzka","Kapelanka"
"Kapelanka","Słomiana"
"Słomiana","Kobierzyńska"
"Kobierzyńska","Lipińskiego"
"Lipińskiego","Grota-Roweckiego"
"Grota-Roweckiego","Norymberska"
"Norymberska","Ruczaj"
"Ruczaj","Kampus UJ"
"Kampus UJ","Chmieleniec"
"Chmieleniec","Czerwone Maki - Plac Centralny im. R.Reagana"

"Os.Piastów","Piasta Kołodzieja"
"Piasta Kołodzieja","Kleeberga"
"Kleeberga","Dunikowskiego"
"Dunikowskiego","Rondo Hipokratesa"
"Rondo Hipokratesa","DH Wanda"
"DH Wanda","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Bieńczycka"
"Bieńczycka","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Czyżyny"
"Czyżyny","Stella-Sawickiego"
"Stella-Sawickiego","AWF"
"AWF","Muzeum Lotnictwa"
"Muzeum Lotnictwa","Wieczysta"
"Wieczysta","Białucha"
"Białucha","Cystersów"
"Cystersów","Rondo Mogilskie"
"Rondo Mogilskie","Lubicz"
"Lubicz","Dworzec Główny"
"Dworzec Główny","Basztowa LOT"
"Basztowa LOT","Teatr Bagatela"
"Teatr Bagatela","Batorego"
"Batorego","Plac Inwalidów"
"Plac Inwalidów","Urzędnicza"
"Urzędnicza","Biprostal"
"Biprostal","Uniwersytet Pedagogiczny"
"Uniwersytet Pedagogiczny","Głowackiego"
"Głowackiego","Bronowice"
"Bronowice","Wesele"
"Wesele","Balicka Wiadukt"
"Balicka Wiadukt","Bronowice Małe - Os.Piastów"

"Nowy Bieżanów","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Prokocim"
"Nowy Prokocim","Teligi"
"Teligi","Prokocim Szpital"
"Prokocim Szpital","Prokocim"
"Prokocim","Wlotowa"
"Wlotowa","Bieżanowska"
"Bieżanowska","Kabel"
"Kabel","Dworcowa"
"Dworcowa","Cmentarz Podgórski"
"Cmentarz Podgórski","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Plac Bohaterów Getta"
"Plac Bohaterów Getta","Św.Wawrzyńca"
"Św.Wawrzyńca","Miodowa"
"Miodowa","Starowiślna"
"Starowiślna","Poczta Główna"
"Poczta Główna","Plac Wszystkich Świętych"
"Plac Wszystkich Świętych","Filharmonia"
"Filharmonia","Teatr Bagatela"
"Teatr Bagatela","Basztowa LOT"
"Basztowa LOT","Dworzec Główny"
"Dworzec Główny","Dworzec Główny Zachód"
"Dworzec Główny Zachód","Politechnika"
"Politechnika","Dworzec Towarowy - Nowy Bieżanów"

"Salwator","Malczewskiego"
"Malczewskiego","Aleja Waszyngtona"
"Aleja Waszyngtona","Kopiec Kościuszki - Salwator"

"Os.Podwawelskie","Centrum Kongresowe"
"Centrum Kongresowe","Centrum Kongresowe"
"Centrum Kongresowe","Szwedzka"
"Szwedzka","Kapelanka"
"Kapelanka","Zielińskiego"
"Zielińskiego","Malczewskiego"
"Malczewskiego","Aleja Waszyngtona"
"Aleja Waszyngtona","Kopiec Kościuszki - Os.Podwawelskie"

"Krowodrza Górka","Krowodrza Urzędy Skarbowe"
"Krowodrza Urzędy Skarbowe","Wybickiego"
"Wybickiego","Łobzów PKP"
"Łobzów PKP","Mazowiecka"
"Mazowiecka","Biprostal"
"Biprostal","Uniwersytet Pedagogiczny"
"Uniwersytet Pedagogiczny","Miasteczko Studenckie AGH"
"Miasteczko Studenckie AGH","Cichy Kącik"
"Cichy Kącik","Słonecznikowa"
"Słonecznikowa","Tondosa"
"Tondosa","Strzelnica"
"Strzelnica","Sielanka"
"Sielanka","Park Decjusza"
"Park Decjusza","Kasztanowa"
"Kasztanowa","Kopalina"
"Kopalina","Zielony Dół"
"Zielony Dół","Chełm"
"Chełm","Chełmska"
"Chełmska","Rzepichy"
"Rzepichy","Kosmowskiej"
"Kosmowskiej","Zakamycze - Krowodrza Górka"

